date,AUTOMOTIVE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2013-01-12,2.0,0.0,1143.0,0.0,321.681,0.0,621.0,404.0,107.16699999999999,166.0,83.905,1796.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,197.0,0.0,260.07099999999997,103.0,0.0,0.0,140.046,54.0,0.0,0.0,26.913
2013-01-13,2.0,0.0,572.0,0.0,151.22,0.0,270.0,194.0,41.126,98.0,47.0,961.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,131.269,61.0,0.0,0.0,88.117,38.0,0.0,0.0,14.146
2013-01-14,2.0,2.0,1178.0,0.0,281.286,0.0,692.0,411.0,144.155,143.0,78.15,1902.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,94.0,0.0,311.57300000000015,84.0,0.0,0.0,195.124,64.0,0.0,0.0,33.397
2013-01-15,1.0,0.0,1149.0,0.0,285.61199999999997,0.0,686.0,357.0,100.80099999999999,136.0,47.0,1671.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,64.0,0.0,287.34599999999995,95.0,0.0,0.0,184.32999999999996,61.0,0.0,0.0,23.085
2013-01-16,1.0,2.0,1043.0,0.0,386.158,0.0,980.0,519.0,116.26499999999999,207.0,102.0,2387.0,35.0,8.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,79.0,0.0,369.492,118.0,0.0,0.0,225.76799999999997,89.0,0.0,0.0,37.913
2013-01-17,1.0,2.0,898.0,0.0,278.754,0.0,696.0,373.0,118.133,132.0,61.0,1648.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,86.0,0.0,280.879,100.0,0.0,0.0,140.855,71.0,0.0,0.0,19.853
2013-01-18,0.0,4.0,1130.0,0.0,270.991,0.0,758.0,464.0,140.52,170.0,90.0,1804.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,120.0,0.0,519.2040000000001,69.0,0.0,0.0,215.43900000000002,62.0,0.0,0.0,30.97
2013-01-19,5.0,4.0,1280.0,0.0,322.255,0.0,610.0,447.0,134.437,175.0,140.0,1956.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,26.0,145.0,0.0,284.48400000000004,92.0,0.0,0.0,139.45000000000002,66.0,0.0,0.0,17.52
2013-01-20,3.0,1.0,453.0,0.0,112.411,0.0,240.0,177.0,52.693000000000005,80.0,36.0,895.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,108.28599999999999,48.0,0.0,0.0,98.501,28.0,0.0,0.0,19.243
2013-01-21,1.0,0.0,1104.0,0.0,294.395,0.0,620.0,399.0,109.52099999999999,174.0,57.0,1679.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,80.0,0.0,274.886,89.0,0.0,0.0,229.46699999999998,65.0,0.0,0.0,29.333000000000002
2013-01-22,1.0,1.0,1037.0,0.0,299.201,0.0,777.0,347.0,99.29700000000001,140.0,59.0,1809.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,77.0,0.0,274.26099999999997,90.0,0.0,0.0,147.272,75.0,0.0,0.0,18.955000000000002
2013-01-23,3.0,0.0,1052.0,0.0,334.953,0.0,765.0,496.0,140.46599999999998,203.0,125.094,2271.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,100.0,0.0,312.19899999999996,103.0,0.0,0.0,170.53699999999998,69.0,0.0,0.0,38.097
2013-01-24,0.0,0.0,846.0,0.0,341.38800000000003,0.0,622.0,359.0,111.185,113.0,19.0,1868.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,78.0,0.0,215.60699999999997,89.0,0.0,0.0,83.146,72.0,0.0,0.0,25.198
2013-01-25,5.0,2.0,1103.0,0.0,323.856,0.0,699.0,399.0,113.72999999999999,148.0,44.0,1706.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,110.0,0.0,507.8499999999999,73.0,0.0,0.0,203.90699999999998,70.0,0.0,0.0,31.358
2013-01-26,4.0,1.0,965.0,0.0,311.019,0.0,542.0,440.0,129.41899999999998,175.0,59.0,1775.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,167.0,0.0,274.44199999999995,117.0,0.0,0.0,185.982,70.0,0.0,0.0,33.465
2013-01-27,2.0,0.0,417.0,0.0,152.78300000000002,0.0,243.0,192.0,35.699,77.0,46.0,811.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,267.816,42.0,0.0,0.0,107.68900000000001,26.0,0.0,0.0,6.391
2013-01-28,3.0,0.0,772.0,0.0,312.06399999999996,0.0,623.0,405.0,123.074,166.0,62.0,1695.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,58.0,0.0,325.07199999999995,107.0,0.0,0.0,234.30600000000004,42.0,0.0,0.0,22.292
2013-01-29,2.0,3.0,932.0,0.0,236.418,0.0,612.0,327.0,111.44999999999999,150.0,63.736000000000004,1575.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,67.0,0.0,260.63300000000004,91.0,0.0,0.0,151.85999999999999,41.0,0.0,0.0,15.414
2013-01-30,6.0,3.0,1031.0,0.0,280.501,0.0,926.0,486.0,112.45700000000001,174.0,71.59100000000001,2157.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,109.0,0.0,304.01800000000003,98.0,0.0,0.0,215.853,62.0,0.0,0.0,27.467
2013-01-31,0.0,2.0,889.0,0.0,304.76599999999996,0.0,706.0,365.0,111.712,121.0,35.0,1496.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,82.0,0.0,264.937,122.0,0.0,0.0,107.302,47.0,0.0,0.0,25.86
2013-02-01,3.0,0.0,941.0,0.0,318.274,0.0,739.0,430.0,122.34,172.0,84.65700000000001,1808.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,166.0,0.0,529.1720000000003,112.0,0.0,0.0,211.55700000000002,89.0,0.0,0.0,32.778999999999996
2013-02-02,0.0,4.0,1005.0,0.0,302.402,0.0,691.0,427.0,128.589,193.0,81.0,2092.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,168.0,0.0,253.80400000000003,103.0,0.0,0.0,144.118,59.0,0.0,0.0,29.006
2013-02-03,0.0,3.0,442.0,0.0,124.749,0.0,251.0,192.0,45.328,84.0,29.0,810.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,130.015,52.0,0.0,0.0,51.519000000000005,18.0,0.0,0.0,15.372
2013-02-04,5.0,0.0,775.0,0.0,266.262,0.0,699.0,444.0,93.848,153.0,83.0,2221.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,0.0,305.11100000000005,85.0,0.0,0.0,286.828,44.0,0.0,0.0,23.992
2013-02-05,0.0,3.0,794.0,0.0,253.111,0.0,739.0,424.0,98.872,149.0,63.0,1868.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,89.0,0.0,229.85000000000005,83.0,0.0,0.0,171.171,55.0,0.0,0.0,25.782
2013-02-06,1.0,3.0,923.0,0.0,331.79200000000003,0.0,975.0,503.0,125.025,197.0,92.348,2056.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,114.0,0.0,338.00100000000015,130.0,0.0,0.0,168.727,81.0,0.0,0.0,29.539
2013-02-07,1.0,1.0,794.0,0.0,241.674,0.0,627.0,342.0,88.23900000000002,109.0,70.024,1474.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,104.0,0.0,267.69599999999997,78.0,0.0,0.0,121.13399999999999,67.0,0.0,0.0,16.476
2013-02-08,2.0,2.0,949.0,0.0,335.69,0.0,595.0,426.0,143.669,165.0,82.688,1767.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,136.0,0.0,511.77299999999997,87.0,0.0,0.0,245.17200000000003,72.0,0.0,0.0,41.82
2013-02-09,4.0,4.0,783.0,0.0,190.026,0.0,494.0,377.0,109.393,147.0,68.0,1552.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,131.0,0.0,282.40700000000004,89.0,0.0,0.0,106.519,52.0,0.0,0.0,13.227
2013-02-10,1.0,0.0,185.0,0.0,77.57,0.0,122.0,110.0,22.869,37.0,34.0,385.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,0.0,74.741,33.0,0.0,0.0,55.313,17.0,0.0,0.0,9.642
2013-02-11,0.0,0.0,172.0,0.0,96.24799999999999,0.0,152.0,151.0,26.320999999999998,46.0,22.0,458.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,92.73899999999999,23.0,0.0,0.0,44.442,25.0,0.0,0.0,5.0
2013-02-12,0.0,0.0,280.0,0.0,96.456,0.0,218.0,139.0,25.121,74.0,48.184,628.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,24.0,0.0,106.38799999999999,36.0,0.0,0.0,114.57,32.0,0.0,0.0,11.296
2013-02-13,0.0,2.0,823.0,0.0,306.827,0.0,813.0,508.0,128.49400000000003,194.0,62.0,2422.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,79.0,0.0,326.5580000000001,136.0,0.0,0.0,179.157,63.0,0.0,0.0,32.689
2013-02-14,0.0,1.0,728.0,0.0,356.423,0.0,638.0,457.0,109.31700000000001,135.0,76.0,1743.0,29.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,108.0,0.0,292.57199999999995,83.0,0.0,0.0,155.402,38.0,0.0,0.0,30.474
2013-02-15,0.0,1.0,905.0,0.0,270.045,0.0,686.0,459.0,125.44300000000001,192.0,68.0,1713.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,37.0,0.0,516.148,89.0,0.0,0.0,186.246,66.0,0.0,0.0,33.906
2013-02-16,1.0,2.0,989.0,0.0,301.624,0.0,598.0,521.0,132.60299999999998,184.0,87.0,2046.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,329.69900000000007,123.0,0.0,0.0,170.15699999999998,65.0,0.0,0.0,30.302
2013-02-17,1.0,1.0,299.0,0.0,134.79,0.0,142.0,150.0,31.698999999999998,66.0,24.0,630.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,128.17499999999998,36.0,0.0,0.0,62.992999999999995,25.0,0.0,0.0,10.424
2013-02-18,2.0,1.0,933.0,0.0,336.924,0.0,610.0,405.0,95.501,147.0,92.0,1799.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,72.0,0.0,262.232,91.0,0.0,0.0,382.46799999999996,65.0,0.0,0.0,21.654
2013-02-19,4.0,1.0,852.0,0.0,312.449,0.0,752.0,368.0,116.83399999999999,133.0,85.0,1923.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,43.0,0.0,224.75500000000005,97.0,0.0,0.0,161.33499999999998,92.0,0.0,0.0,26.345
2013-02-20,2.0,5.0,882.0,0.0,371.173,0.0,744.0,514.0,123.87100000000001,185.0,81.0,2246.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,102.0,0.0,322.95399999999995,112.0,0.0,0.0,192.62,71.0,0.0,0.0,31.451999999999998
2013-02-21,1.0,4.0,910.0,0.0,323.03999999999996,0.0,709.0,353.0,135.132,135.0,57.0,2023.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,77.0,0.0,253.98600000000005,80.0,0.0,0.0,116.97300000000001,74.0,0.0,0.0,27.6
2013-02-22,2.0,1.0,959.0,0.0,311.591,0.0,815.0,424.0,133.77100000000002,173.0,81.76599999999999,1741.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,168.0,0.0,570.617,111.0,0.0,0.0,176.352,30.0,0.0,0.0,46.413
2013-02-23,4.0,0.0,1000.0,0.0,311.054,0.0,585.0,451.0,128.00799999999998,144.0,87.0,1851.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,14.0,145.0,0.0,232.16100000000003,127.0,0.0,0.0,198.984,70.0,0.0,0.0,35.782
2013-02-24,0.0,0.0,439.0,0.0,146.674,0.0,228.0,194.0,48.394999999999996,79.0,40.0,782.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,146.00099999999998,42.0,0.0,0.0,68.441,47.0,0.0,0.0,10.201
2013-02-25,1.0,0.0,851.0,0.0,293.047,0.0,622.0,507.0,119.53400000000002,165.0,76.0,1897.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,63.0,0.0,293.25199999999995,97.0,0.0,0.0,183.749,72.0,0.0,0.0,11.693000000000001
2013-02-26,0.0,1.0,787.0,0.0,280.46299999999997,0.0,577.0,426.0,123.9,131.0,84.88,1671.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,46.0,0.0,272.75600000000003,92.0,0.0,0.0,124.575,43.0,0.0,0.0,15.705
2013-02-27,2.0,0.0,962.0,0.0,357.61699999999996,0.0,837.0,469.0,136.173,168.0,97.195,2174.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,93.0,0.0,318.1320000000001,117.0,0.0,0.0,167.002,68.0,0.0,0.0,43.824
2013-02-28,1.0,6.0,960.0,0.0,248.44,0.0,715.0,401.0,100.72699999999999,129.0,57.0,1667.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,49.0,0.0,283.6159999999999,131.0,0.0,0.0,156.65200000000002,47.0,0.0,0.0,26.256999999999998
2013-03-01,2.0,3.0,911.0,0.0,317.251,0.0,692.0,515.0,134.657,173.0,75.0,1930.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,125.0,0.0,548.0130000000001,95.0,0.0,0.0,290.243,59.0,0.0,0.0,28.392
2013-03-02,1.0,0.0,1221.0,0.0,282.33799999999997,0.0,611.0,487.0,134.574,187.0,90.0,1980.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,115.0,0.0,298.89099999999996,129.0,0.0,0.0,164.52299999999997,70.0,0.0,0.0,30.141
2013-03-03,2.0,0.0,372.0,0.0,141.733,0.0,264.0,216.0,67.40799999999999,86.0,36.0,914.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,149.73600000000002,63.0,0.0,0.0,68.972,20.0,0.0,0.0,16.978
2013-03-04,5.0,0.0,1037.0,0.0,314.019,0.0,812.0,430.0,124.826,152.0,79.0,2299.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,72.0,0.0,339.29300000000006,125.0,0.0,0.0,184.067,52.0,0.0,0.0,31.287
2013-03-05,0.0,5.0,780.0,0.0,251.336,0.0,721.0,381.0,109.43799999999999,133.0,61.0,1746.0,31.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,73.0,0.0,298.28000000000003,78.0,0.0,0.0,177.092,73.0,0.0,0.0,30.488
2013-03-06,0.0,5.0,1069.0,0.0,356.865,0.0,927.0,515.0,117.54199999999999,207.0,123.953,2475.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,22.0,106.0,0.0,366.07,123.0,0.0,0.0,268.84000000000003,71.0,0.0,0.0,39.268
2013-03-07,0.0,0.0,1094.0,0.0,291.043,0.0,689.0,409.0,112.701,132.0,86.0,1720.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,61.0,0.0,259.497,99.0,0.0,0.0,134.761,57.0,0.0,0.0,19.069
2013-03-08,0.0,1.0,1186.0,0.0,291.676,0.0,652.0,467.0,126.11999999999999,152.0,76.0,1893.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,172.0,0.0,516.55,49.0,0.0,0.0,213.937,118.0,0.0,0.0,35.393
2013-03-09,2.0,1.0,1089.0,0.0,296.837,0.0,569.0,457.0,166.327,175.0,90.0,1972.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,125.0,0.0,274.60699999999997,117.0,0.0,0.0,183.331,69.0,0.0,0.0,29.409
2013-03-10,0.0,0.0,548.0,0.0,160.934,0.0,271.0,227.0,57.797999999999995,78.0,40.0,854.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,141.01899999999995,72.0,0.0,0.0,63.43900000000001,32.0,0.0,0.0,22.214
2013-03-11,2.0,0.0,1072.0,0.0,297.395,0.0,746.0,394.0,126.80000000000001,150.0,65.0,1809.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,64.0,0.0,310.032,90.0,0.0,0.0,266.41999999999996,47.0,0.0,0.0,38.251000000000005
2013-03-12,5.0,1.0,833.0,0.0,247.66,0.0,642.0,427.0,127.22500000000001,155.0,87.40299999999999,1808.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,72.0,0.0,228.634,101.0,0.0,0.0,128.284,44.0,0.0,0.0,12.879
2013-03-13,2.0,5.0,1078.0,0.0,331.411,0.0,910.0,492.0,144.299,161.0,92.38300000000001,2010.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,98.0,0.0,322.36600000000004,108.0,0.0,0.0,187.456,68.0,0.0,0.0,19.861
2013-03-14,3.0,3.0,753.0,0.0,289.69,0.0,537.0,375.0,104.03200000000001,109.0,65.0,1685.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,83.0,0.0,235.86,55.0,0.0,0.0,146.545,56.0,0.0,0.0,27.047
2013-03-15,3.0,1.0,967.0,0.0,324.61699999999996,0.0,742.0,418.0,112.65899999999999,146.0,95.0,1760.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,137.0,0.0,487.09700000000004,83.0,0.0,0.0,207.83800000000002,45.0,0.0,0.0,43.266999999999996
2013-03-16,1.0,2.0,1092.0,0.0,308.95,0.0,658.0,458.0,98.04199999999999,190.0,140.0,2082.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,123.0,0.0,254.23200000000006,105.0,0.0,0.0,167.972,49.0,2.0,0.0,32.283
2013-03-17,1.0,1.0,466.0,0.0,112.537,0.0,203.0,205.0,60.041000000000004,94.0,55.0,745.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,130.86799999999997,46.0,0.0,0.0,58.087,32.0,23.0,0.0,4.077999999999999
2013-03-18,4.0,3.0,772.0,0.0,316.51800000000003,0.0,621.0,422.0,158.72,167.0,98.331,1830.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,77.0,0.0,280.095,93.0,0.0,0.0,211.399,66.0,0.0,0.0,21.282
2013-03-19,1.0,1.0,836.0,0.0,252.721,0.0,720.0,434.0,92.10799999999999,166.0,62.0,1813.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,59.0,0.0,155.22199999999998,74.0,0.0,0.0,165.65900000000002,46.0,2.0,0.0,13.542
2013-03-20,0.0,4.0,1059.0,0.0,387.81100000000004,0.0,784.0,554.0,151.01500000000001,196.0,110.0,2200.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,96.0,0.0,271.9099999999999,81.0,0.0,0.0,157.245,66.0,1.0,0.0,35.941
2013-03-21,1.0,2.0,756.0,0.0,355.371,0.0,682.0,435.0,122.13199999999999,176.0,75.23400000000001,1791.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,73.0,0.0,273.357,67.0,0.0,0.0,148.651,76.0,1.0,0.0,28.464
2013-03-22,0.0,1.0,842.0,0.0,265.25800000000004,0.0,826.0,462.0,103.67999999999999,169.0,116.0,1981.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,97.0,0.0,516.912,117.0,0.0,0.0,165.74099999999999,60.0,7.0,0.0,42.478
2013-03-23,0.0,1.0,985.0,0.0,295.36400000000003,0.0,546.0,495.0,132.475,172.0,108.137,1953.0,42.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,7.0,158.0,0.0,262.53800000000007,95.0,0.0,0.0,130.108,90.0,2.0,0.0,40.974000000000004
2013-03-24,1.0,2.0,390.0,0.0,107.761,0.0,175.0,217.0,52.486,78.0,29.0,725.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,100.09900000000003,27.0,0.0,0.0,61.192,47.0,17.0,0.0,8.342
2013-03-25,4.0,2.0,856.0,0.0,315.877,0.0,554.0,464.0,92.689,176.0,99.1,1918.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,54.0,0.0,276.83399999999995,75.0,0.0,0.0,235.07799999999997,56.0,2.0,0.0,23.835
2013-03-26,10.0,2.0,788.0,0.0,293.03999999999996,0.0,502.0,458.0,87.16,161.0,105.345,1768.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,134.0,0.0,198.406,84.0,0.0,0.0,105.68299999999999,56.0,0.0,0.0,28.642
2013-03-27,3.0,2.0,1198.0,0.0,310.631,0.0,837.0,601.0,136.10699999999997,171.0,102.0,2208.0,18.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,125.0,0.0,279.9299999999999,83.0,0.0,0.0,172.183,76.0,0.0,0.0,30.604
2013-03-28,2.0,0.0,1043.0,0.0,288.856,0.0,602.0,638.0,109.31,172.0,81.0,1875.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,10.0,121.0,0.0,250.82799999999997,86.0,0.0,0.0,225.21200000000002,132.0,5.0,0.0,21.5
2013-03-29,1.0,0.0,280.0,0.0,94.265,0.0,186.0,218.0,48.618,60.0,23.0,636.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,60.0,0.0,244.319,20.0,0.0,0.0,24.479,86.0,2.0,0.0,10.048
2013-03-30,2.0,4.0,787.0,0.0,206.749,0.0,471.0,338.0,99.47999999999999,137.0,100.0,1609.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,97.0,0.0,211.84099999999998,65.0,0.0,0.0,100.363,60.0,12.0,0.0,23.897000000000002
2013-03-31,1.0,1.0,400.0,0.0,125.187,0.0,218.0,159.0,52.972,67.0,33.0,747.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,98.83,23.0,0.0,0.0,57.053,23.0,20.0,0.0,13.327
2013-04-01,0.0,1.0,931.0,0.0,331.21299999999997,0.0,789.0,483.0,139.7,192.0,95.0,2322.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,0.0,313.784,137.0,0.0,0.0,222.03099999999998,54.0,0.0,0.0,33.153
2013-04-02,7.0,2.0,1083.0,0.0,265.593,0.0,723.0,404.0,164.475,156.0,100.0,2133.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,50.0,0.0,312.279,108.0,0.0,0.0,148.68999999999997,66.0,1.0,0.0,22.148
2013-04-03,4.0,1.0,1082.0,0.0,372.96000000000004,0.0,987.0,478.0,183.46900000000002,228.0,104.0,2666.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,111.0,0.0,375.9710000000001,140.0,0.0,0.0,193.80599999999998,77.0,3.0,0.0,27.747
2013-04-04,0.0,5.0,809.0,0.0,264.095,0.0,636.0,371.0,102.84,142.0,79.0,1785.0,19.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,12.0,56.0,0.0,272.098,99.0,0.0,0.0,139.035,79.0,3.0,0.0,17.43
